Freq.	abs(V(drain))
1.00000000000000e+07	4.73424876624729e+01,0.00000000000000e+00
1.00004682920841e+07	4.73420740198268e+01,0.00000000000000e+00
1.00009366060979e+07	4.73416603438208e+01,0.00000000000000e+00
1.00014049420425e+07	4.73412466344519e+01,0.00000000000000e+00
1.00018732999190e+07	4.73408328917167e+01,0.00000000000000e+00
1.00023416797282e+07	4.73404191156133e+01,0.00000000000000e+00
1.00028100814713e+07	4.73400053061383e+01,0.00000000000000e+00
1.00032785051493e+07	4.73395914632887e+01,0.00000000000000e+00
1.00037469507632e+07	4.73391775870621e+01,0.00000000000000e+00
1.00042154183140e+07	4.73387636774553e+01,0.00000000000000e+00
1.00046839078028e+07	4.73383497344656e+01,0.00000000000000e+00
1.00051524192306e+07	4.73379357580901e+01,0.00000000000000e+00
1.00056209525984e+07	4.73375217483261e+01,0.00000000000000e+00
1.00060895079073e+07	4.73371077051704e+01,0.00000000000000e+00
1.00065580851582e+07	4.73366936286206e+01,0.00000000000000e+00
1.00070266843522e+07	4.73362795186733e+01,0.00000000000000e+00
1.00074953054904e+07	4.73358653753261e+01,0.00000000000000e+00
1.00079639485737e+07	4.73354511985758e+01,0.00000000000000e+00
1.00084326136032e+07	4.73350369884200e+01,0.00000000000000e+00
1.00089013005799e+07	4.73346227448554e+01,0.00000000000000e+00
1.00093700095049e+07	4.73342084678794e+01,0.00000000000000e+00
1.00098387403791e+07	4.73337941574892e+01,0.00000000000000e+00
1.00103074932036e+07	4.73333798136817e+01,0.00000000000000e+00
1.00107762679794e+07	4.73329654364540e+01,0.00000000000000e+00
1.00112450647076e+07	4.73325510258037e+01,0.00000000000000e+00
1.00117138833892e+07	4.73321365817274e+01,0.00000000000000e+00
1.00121827240252e+07	4.73317221042227e+01,0.00000000000000e+00
1.00126515866166e+07	4.73313075932863e+01,0.00000000000000e+00
1.00131204711645e+07	4.73308930489157e+01,0.00000000000000e+00
1.00135893776698e+07	4.73304784711081e+01,0.00000000000000e+00
1.00140583061337e+07	4.73300638598603e+01,0.00000000000000e+00
1.00145272565572e+07	4.73296492151696e+01,0.00000000000000e+00
1.00149962289412e+07	4.73292345370333e+01,0.00000000000000e+00
1.00154652232868e+07	4.73288198254483e+01,0.00000000000000e+00
1.00159342395951e+07	4.73284050804118e+01,0.00000000000000e+00
1.00164032778670e+07	4.73279903019211e+01,0.00000000000000e+00
1.00168723381036e+07	4.73275754899732e+01,0.00000000000000e+00
1.00173414203059e+07	4.73271606445652e+01,0.00000000000000e+00
1.00178105244750e+07	4.73267457656945e+01,0.00000000000000e+00
1.00182796506119e+07	4.73263308533580e+01,0.00000000000000e+00
1.00187487987175e+07	4.73259159075529e+01,0.00000000000000e+00
1.00192179687930e+07	4.73255009282763e+01,0.00000000000000e+00
1.00196871608394e+07	4.73250859155253e+01,0.00000000000000e+00
1.00201563748576e+07	4.73246708692974e+01,0.00000000000000e+00
1.00206256108488e+07	4.73242557895893e+01,0.00000000000000e+00
1.00210948688139e+07	4.73238406763983e+01,0.00000000000000e+00
1.00215641487540e+07	4.73234255297216e+01,0.00000000000000e+00
1.00220334506701e+07	4.73230103495564e+01,0.00000000000000e+00
1.00225027745633e+07	4.73225951358997e+01,0.00000000000000e+00
1.00229721204345e+07	4.73221798887486e+01,0.00000000000000e+00
1.00234414882848e+07	4.73217646081005e+01,0.00000000000000e+00
1.00239108781152e+07	4.73213492939522e+01,0.00000000000000e+00
1.00243802899268e+07	4.73209339463011e+01,0.00000000000000e+00
1.00248497237206e+07	4.73205185651443e+01,0.00000000000000e+00
1.00253191794976e+07	4.73201031504787e+01,0.00000000000000e+00
1.00257886572588e+07	4.73196877023018e+01,0.00000000000000e+00
1.00262581570053e+07	4.73192722206105e+01,0.00000000000000e+00
1.00267276787381e+07	4.73188567054020e+01,0.00000000000000e+00
1.00271972224582e+07	4.73184411566735e+01,0.00000000000000e+00
1.00276667881667e+07	4.73180255744221e+01,0.00000000000000e+00
1.00281363758646e+07	4.73176099586449e+01,0.00000000000000e+00
1.00286059855529e+07	4.73171943093390e+01,0.00000000000000e+00
1.00290756172327e+07	4.73167786265017e+01,0.00000000000000e+00
1.00295452709049e+07	4.73163629101300e+01,0.00000000000000e+00
1.00300149465706e+07	4.73159471602211e+01,0.00000000000000e+00
1.00304846442309e+07	4.73155313767722e+01,0.00000000000000e+00
1.00309543638868e+07	4.73151155597805e+01,0.00000000000000e+00
1.00314241055392e+07	4.73146997092426e+01,0.00000000000000e+00
1.00318938691893e+07	4.73142838251564e+01,0.00000000000000e+00
1.00323636548380e+07	4.73138679075186e+01,0.00000000000000e+00
1.00328334624865e+07	4.73134519563265e+01,0.00000000000000e+00
1.00333032921356e+07	4.73130359715770e+01,0.00000000000000e+00
1.00337731437865e+07	4.73126199532675e+01,0.00000000000000e+00
1.00342430174402e+07	4.73122039013950e+01,0.00000000000000e+00
1.00347129130977e+07	4.73117878159565e+01,0.00000000000000e+00
1.00351828307600e+07	4.73113716969497e+01,0.00000000000000e+00
1.00356527704282e+07	4.73109555443711e+01,0.00000000000000e+00
1.00361227321033e+07	4.73105393582182e+01,0.00000000000000e+00
1.00365927157864e+07	4.73101231384879e+01,0.00000000000000e+00
1.00370627214784e+07	4.73097068851777e+01,0.00000000000000e+00
1.00375327491804e+07	4.73092905982841e+01,0.00000000000000e+00
1.00380027988934e+07	4.73088742778049e+01,0.00000000000000e+00
