Freq.	abs(V(drain))
1.00000000000000e+07	1.05124614361636e+01,0.00000000000000e+00
1.00004682920841e+07	1.05131317521933e+01,0.00000000000000e+00
1.00009366060979e+07	1.05138021298973e+01,0.00000000000000e+00
1.00014049420425e+07	1.05144725692839e+01,0.00000000000000e+00
1.00018732999190e+07	1.05151430703618e+01,0.00000000000000e+00
1.00023416797282e+07	1.05158136331393e+01,0.00000000000000e+00
1.00028100814713e+07	1.05164842576251e+01,0.00000000000000e+00
1.00032785051493e+07	1.05171549438277e+01,0.00000000000000e+00
1.00037469507632e+07	1.05178256917553e+01,0.00000000000000e+00
1.00042154183140e+07	1.05184965014169e+01,0.00000000000000e+00
1.00046839078028e+07	1.05191673728206e+01,0.00000000000000e+00
1.00051524192306e+07	1.05198383059752e+01,0.00000000000000e+00
1.00056209525984e+07	1.05205093008889e+01,0.00000000000000e+00
1.00060895079073e+07	1.05211803575706e+01,0.00000000000000e+00
1.00065580851582e+07	1.05218514760286e+01,0.00000000000000e+00
1.00070266843522e+07	1.05225226562715e+01,0.00000000000000e+00
1.00074953054904e+07	1.05231938983077e+01,0.00000000000000e+00
1.00079639485737e+07	1.05238652021459e+01,0.00000000000000e+00
1.00084326136032e+07	1.05245365677945e+01,0.00000000000000e+00
1.00089013005799e+07	1.05252079952620e+01,0.00000000000000e+00
1.00093700095049e+07	1.05258794845571e+01,0.00000000000000e+00
1.00098387403791e+07	1.05265510356881e+01,0.00000000000000e+00
1.00103074932036e+07	1.05272226486638e+01,0.00000000000000e+00
1.00107762679794e+07	1.05278943234926e+01,0.00000000000000e+00
1.00112450647076e+07	1.05285660601829e+01,0.00000000000000e+00
1.00117138833892e+07	1.05292378587434e+01,0.00000000000000e+00
1.00121827240252e+07	1.05299097191827e+01,0.00000000000000e+00
1.00126515866166e+07	1.05305816415092e+01,0.00000000000000e+00
1.00131204711645e+07	1.05312536257315e+01,0.00000000000000e+00
1.00135893776698e+07	1.05319256718581e+01,0.00000000000000e+00
1.00140583061337e+07	1.05325977798975e+01,0.00000000000000e+00
1.00145272565572e+07	1.05332699498585e+01,0.00000000000000e+00
1.00149962289412e+07	1.05339421817493e+01,0.00000000000000e+00
1.00154652232868e+07	1.05346144755788e+01,0.00000000000000e+00
